id	title
A01	AGRICULTURE; SYLVICULTURE; ÉLEVAGE; CHASSE; PIÉGEAGE; PÊCHE
A21	CUISSON AU FOUR; MATÉRIEL POUR LA PRÉPARATION OU LE TRAITEMENT DE LA PÂTE; PÂTE À CUIRE
A22	BOUCHERIE; TRAITEMENT DE LA VIANDE; TRAITEMENT DE LA VOLAILLE OU DU POISSON
A23	ALIMENTS OU PRODUITS ALIMENTAIRES; LEUR TRAITEMENT, NON COUVERT PAR D'AUTRES CLASSES
A24	TABAC; CIGARES; CIGARETTES; DISPOSITIFS PERMETTANT DE FUMER DE MANIÈRE ARTIFICIELLE; ARTICLES POUR FUMEURS
A41	VÊTEMENTS
A42	CHAPELLERIE
A43	CHAUSSURES
A44	MERCERIE; BIJOUTERIE
A45	OBJETS D'USAGE PERSONNEL OU ARTICLES DE VOYAGE
A46	BROSSERIE
A47	AMEUBLEMENT; ARTICLES OU APPAREILS MÉNAGERS; MOULINS À CAFÉ; MOULINS À ÉPICES; ASPIRATEURS EN GÉNÉRAL
A61	SCIENCES MÉDICALE OU VÉTÉRINAIRE; HYGIÈNE
A62	SAUVETAGE; LUTTE CONTRE L'INCENDIE
A63	SPORTS; JEUX; DISTRACTIONS
A99	MATIÈRE NON PRÉVUE AILLEURS DANS LA PRÉSENTE SECTION
B01	PROCÉDÉS OU APPAREILS PHYSIQUES OU CHIMIQUES EN GÉNÉRAL
B02	BROYAGE, RÉDUCTION EN POUDRE OU DÉSAGRÉGATION; TRAITEMENT PRÉPARATOIRE DES GRAINES POUR LA MOUTURE
B03	SÉPARATION DES SOLIDES PAR UTILISATION DE LIQUIDES OU PAR UTILISATION DE TABLES OU CRIBLES À PISTON PNEUMATIQUES; SÉPARATION MAGNÉTIQUE OU ÉLECTROSTATIQUE DE MATÉRIAUX SOLIDES À PARTIR DE MATÉRIAUX SOLIDES OU DE FLUIDES; SÉPARATION PAR DES CHAMPS ÉLECTRIQUES À HAUTE TENSION
B04	APPAREILS OU MACHINES CENTRIFUGES UTILISÉS AVEC LES PROCÉDÉS PHYSIQUES OU CHIMIQUES
B05	PULVÉRISATION OU ATOMISATION EN GÉNÉRAL; APPLICATION DE MATÉRIAUX FLUIDES AUX SURFACES, EN GÉNÉRAL
B06	PRODUCTION OU TRANSMISSION DES VIBRATIONS MÉCANIQUES, EN GÉNÉRAL
B07	SÉPARATION DES SOLIDES; TRIAGE
B08	NETTOYAGE
B09	ÉLIMINATION DES DÉCHETS SOLIDES; RÉGÉNÉRATION DE SOLS POLLUÉS
B21	TRAVAIL MÉCANIQUE DES MÉTAUX SANS ENLÈVEMENT SUBSTANTIEL DE MATIÈRE; DÉCOUPAGE DU MÉTAL À L'EMPORTE-PIÈCE
B22	FONDERIE; MÉTALLURGIE DES POUDRES MÉTALLIQUES
B23	MACHINES-OUTILS; TRAVAIL DES MÉTAUX NON PRÉVU AILLEURS
B24	MEULAGE; POLISSAGE
B25	OUTILS À MAIN; OUTILS PORTATIFS À MOTEUR; MANCHES POUR USTENSILES À MAIN; OUTILLAGE D'ATELIER; MANIPULATEURS
B26	OUTILS POUR TAILLER À MAIN; COUPE; SÉPARATION
B27	TRAVAIL OU CONSERVATION DU BOIS OU DE MATÉRIAUX SIMILAIRES; MACHINES POUR CLOUER, AGRAFER OU BROCHER EN GÉNÉRAL
B28	TRAVAIL DU CIMENT, DE L'ARGILE OU DE LA PIERRE
B29	TRAVAIL DES MATIÈRES PLASTIQUES; TRAVAIL DES SUBSTANCES À L'ÉTAT PLASTIQUE EN GÉNÉRAL
B30	PRESSES
B31	FABRICATION D'ARTICLES EN PAPIER, EN CARTON OU EN MATÉRIAUX TRAVAILLÉS D’UNE MANIÈRE ANALOGUE AU PAPIER; TRAVAIL DU PAPIER, DU CARTON OU DE MATÉRIAUX TRAVAILLÉS D’UNE MANIÈRE ANALOGUE AU PAPIER
B32	PRODUITS STRATIFIÉS
B33	TECHNOLOGIE DE FABRICATION ADDITIVE
B41	IMPRIMERIE; LIGNARDS; MACHINES À ÉCRIRE; TIMBRES
B42	RELIURE; ALBUMS; CLASSEURS; IMPRIMÉS PARTICULIERS
B43	MATÉRIEL POUR ÉCRIRE OU DESSINER; ACCESSOIRES DE BUREAU
B44	ARTS DÉCORATIFS
B60	VÉHICULES EN GÉNÉRAL
B61	CHEMINS DE FER
B62	VÉHICULES TERRESTRES SE DÉPLAÇANT AUTREMENT QUE SUR RAILS
B63	NAVIRES OU AUTRES ENGINS FLOTTANTS; LEUR ÉQUIPEMENT
B64	AÉRONAUTIQUE; AVIATION; ASTRONAUTIQUE
B65	MANUTENTION; EMBALLAGE; EMMAGASINAGE; MANIPULATION DES MATÉRIAUX DE FORME PLATE OU FILIFORME
B66	HISSAGE; LEVAGE; HALAGE
B67	OUVERTURE OU FERMETURE DES BOUTEILLES, BOCAUX OU RÉCIPIENTS ANALOGUES; MANIPULATION DES LIQUIDES
B68	BOURRELLERIE; CAPITONNAGE
B81	TECHNOLOGIE DES MICROSTRUCTURES
B82	NANOTECHNOLOGIE
B99	MATIÈRE NON PRÉVUE AILLEURS DANS LA PRÉSENTE SECTION
C01	CHIMIE INORGANIQUE
C02	TRAITEMENT DE L'EAU, DES EAUX RÉSIDUAIRES, DES EAUX OU BOUES D'ÉGOUT
C03	VERRE; LAINE MINÉRALE OU DE SCORIES
C04	CIMENTS; BÉTON; PIERRE ARTIFICIELLE; CÉRAMIQUES; RÉFRACTAIRES
C05	ENGRAIS; LEUR FABRICATION
C06	EXPLOSIFS; ALLUMETTES
C07	CHIMIE ORGANIQUE
C08	COMPOSÉS MACROMOLÉCULAIRES ORGANIQUES; LEUR PRÉPARATION OU LEUR MISE EN UVRE CHIMIQUE; COMPOSITIONS À BASE DE COMPOSÉS MACROMOLÉCULAIRES
C09	COLORANTS; PEINTURES; PRODUITS À POLIR; RÉSINES NATURELLES; ADHÉSIFS; COMPOSITIONS NON PRÉVUES AILLEURS; UTILISATIONS DE SUBSTANCES, NON PRÉVUES AILLEURS
C10	INDUSTRIES DU PÉTROLE, DU GAZ OU DU COKE; GAZ DE SYNTHÈSE CONTENANT DE L'OXYDE DE CARBONE; COMBUSTIBLES; LUBRIFIANTS; TOURBE
C11	HUILES, GRAISSES, MATIÈRES GRASSES OU CIRES ANIMALES OU VÉGÉTALES; LEURS ACIDES GRAS; DÉTERGENTS; BOUGIES
C12	BIOCHIMIE; BIÈRE; SPIRITUEUX; VIN; VINAIGRE; MICROBIOLOGIE; ENZYMOLOGIE; TECHNIQUES DE MUTATION OU DE GÉNÉTIQUE
C13	INDUSTRIE DU SUCRE
C14	PEAUX; PELLETERIES; CUIRS
C21	MÉTALLURGIE DU FER
C22	MÉTALLURGIE; ALLIAGES FERREUX OU NON FERREUX; TRAITEMENT DES ALLIAGES OU DES MÉTAUX NON FERREUX
C23	REVÊTEMENT DE MATÉRIAUX MÉTALLIQUES; REVÊTEMENT DE MATÉRIAUX AVEC DES MATÉRIAUX MÉTALLIQUES; TRAITEMENT CHIMIQUE DE SURFACE; TRAITEMENT DE DIFFUSION DE MATÉRIAUX MÉTALLIQUES; REVÊTEMENT PAR ÉVAPORATION SOUS VIDE, PAR PULVÉRISATION CATHODIQUE, PAR IMPLANTATION D'IONS OU PAR DÉPÔT CHIMIQUE EN PHASE VAPEUR, EN GÉNÉRAL; MOYENS POUR EMPÊCHER LA CORROSION DES MATÉRIAUX MÉTALLIQUES, L'ENTARTRAGE OU LES INCRUSTATIONS, EN GÉNÉRAL
C25	PROCÉDÉS ÉLECTROLYTIQUES OU ÉLECTROPHORÉTIQUES; APPAREILLAGES À CET EFFET
C30	CROISSANCE DES CRISTAUX
C40	TECHNOLOGIE COMBINATOIRE
C99	MATIÈRE NON PRÉVUE AILLEURS DANS LA PRÉSENTE SECTION
D01	FIBRES OU FILS NATURELS OU FAITS PAR L'HOMME; FILATURE
D02	FILS; FINITION MÉCANIQUE DES FILS OU CORDES; OURDISSAGE OU DRESSAGE
D03	TISSAGE
D04	TRESSAGE; FABRICATION DE LA DENTELLE; TRICOTAGE; PASSEMENTERIES; NON-TISSÉS
D05	COUTURE; BRODERIE; IMPLANTATION DE POILS OU TOUFFES PAR PIQUAGE
D06	TRAITEMENT DES TEXTILES OU SIMILAIRES; BLANCHISSAGE; MATÉRIAUX FLEXIBLES NON PRÉVUS AILLEURS
D07	CORDES; CÂBLES AUTRES QUE LES CÂBLES ÉLECTRIQUES
D21	FABRICATION DU PAPIER; PRODUCTION DE LA CELLULOSE
D99	MATIÈRE NON PRÉVUE AILLEURS DANS LA PRÉSENTE SECTION
E01	CONSTRUCTION DE ROUTES, DE VOIES FERRÉES OU DE PONTS
E02	HYDRAULIQUE; FONDATIONS; TERRASSEMENT
E03	ADDUCTION D'EAU; ÉVACUATION DES EAUX
E04	BÂTIMENT
E05	SERRURES; CLÉS; APPAREILLAGE DES PORTES OU FENÊTRES; COFFRES-FORTS
E06	PORTES, FENÊTRES, VOLETS OU STORES À ROULEAU, EN GÉNÉRAL; ÉCHELLES
E21	FORAGE DU SOL OU DE LA ROCHE; EXPLOITATION MINIÈRE
E99	MATIÈRE NON PRÉVUE AILLEURS DANS LA PRÉSENTE SECTION
F01	"MACHINES" OU MACHINES MOTRICES EN GÉNÉRAL; ENSEMBLES FONCTIONNELS DE MACHINES MOTRICES EN GÉNÉRAL; MACHINES À VAPEUR
F02	MOTEURS À COMBUSTION; ENSEMBLES FONCTIONNELS DE MOTEURS À GAZ CHAUDS OU À PRODUITS DE COMBUSTION
F03	"MACHINES" OU MACHINES MOTRICES À LIQUIDES; MÉCANISMES MOTEURS À VENT, À RESSORTS, À POIDS; PRODUCTION D'ÉNERGIE MÉCANIQUE OU DE POUSSÉE PROPULSIVE PAR RÉACTION, NON PRÉVUE AILLEURS
F04	"MACHINES" À LIQUIDES À DÉPLACEMENT POSITIF; POMPES À LIQUIDES OU À FLUIDES COMPRESSIBLES
F15	DISPOSITIFS DE MANŒUVRE À PRESSION DE FLUIDE; HYDRAULIQUE OU TECHNIQUE PNEUMATIQUE EN GÉNÉRAL
F16	ÉLÉMENTS OU ENSEMBLES DE TECHNOLOGIE; MESURES GÉNÉRALES POUR ASSURER LE BON FONCTIONNEMENT DES MACHINES OU INSTALLATIONS; ISOLATION THERMIQUE EN GÉNÉRAL
F17	STOCKAGE OU DISTRIBUTION DES GAZ OU DES LIQUIDES
F21	ÉCLAIRAGE
F22	PRODUCTION DE VAPEUR
F23	APPAREILS À COMBUSTION; PROCÉDÉS DE COMBUSTION
F24	CHAUFFAGE; FOURNEAUX; VENTILATION
F25	RÉFRIGÉRATION OU REFROIDISSEMENT; SYSTÈMES COMBINÉS DE CHAUFFAGE ET DE RÉFRIGÉRATION; SYSTÈMES À POMPES À CHALEUR; FABRICATION OU EMMAGASINAGE DE LA GLACE; LIQUÉFACTION OU SOLIDIFICATION DES GAZ
F26	SÉCHAGE
F27	FOURS; CORNUES DE DISTILLATION
F28	ÉCHANGEURS DE CHALEUR EN GÉNÉRAL
F41	ARMES
F42	MUNITIONS; SAUTAGE
F99	MATIÈRE NON PRÉVUE AILLEURS DANS LA PRÉSENTE SECTION
G01	MÉTROLOGIE; TESTS
G02	OPTIQUE
G03	PHOTOGRAPHIE; CINÉMATOGRAPHIE; TECHNIQUES ANALOGUES UTILISANT D'AUTRES ONDES QUE DES ONDES OPTIQUES; ÉLECTROGRAPHIE; HOLOGRAPHIE
G04	HOROMÉTRIE
G05	COMMANDE; RÉGULATION
G06	CALCUL; COMPTAGE
G07	DISPOSITIFS DE CONTRÔLE
G08	SIGNALISATION
G09	ENSEIGNEMENT; CRYPTOGRAPHIE; PRÉSENTATION; PUBLICITÉ; SCEAUX
G10	INSTRUMENTS DE MUSIQUE; ACOUSTIQUE
G11	ENREGISTREMENT DE L'INFORMATION
G12	DÉTAILS OU PARTIES CONSTITUTIVES DES INSTRUMENTS
G16	TECHNOLOGIES DE L’INFORMATION ET DE LA COMMUNICATION [TIC] SPÉCIALEMENT ADAPTÉES À DES DOMAINES D’APPLICATION SPÉCIFIQUES
G21	PHYSIQUE NUCLÉAIRE; TECHNIQUE NUCLÉAIRE
G99	MATIÈRE NON PRÉVUE AILLEURS DANS LA PRÉSENTE SECTION
H01	ÉLÉMENTS ÉLECTRIQUES FONDAMENTAUX
H02	PRODUCTION, CONVERSION OU DISTRIBUTION DE L'ÉNERGIE ÉLECTRIQUE
H03	CIRCUITS ÉLECTRONIQUES FONDAMENTAUX
H04	TECHNIQUE DE LA COMMUNICATION ÉLECTRIQUE
H05	TECHNIQUES ÉLECTRIQUES NON PRÉVUES AILLEURS
H99	MATIÈRE NON PRÉVUE AILLEURS DANS LA PRÉSENTE SECTION
